City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
190,Grand-Lahou,CI,5.1367,-5.0242,74.25,72,75,7.34,broken clouds
191,Van,TR,38.4924,43.3831,60.15,44,0,3.44,clear sky
192,Teguise,ES,29.0605,-13.564,70.02,83,0,21.85,clear sky
193,Kropotkin,RU,45.4375,40.5756,60.35,66,0,7.47,clear sky
194,Praia,CV,14.9215,-23.5087,77.54,88,40,6.91,scattered clouds
195,Port Elizabeth,ZA,-33.918,25.5701,54.32,91,97,7.0,overcast clouds
196,Pevek,RU,69.7008,170.3133,31.75,87,100,15.9,overcast clouds
197,La Palma,US,33.8464,-118.0467,97.92,56,0,10.36,clear sky
198,Khuzdar,PK,27.7384,66.6434,77.68,63,79,5.75,broken clouds
199,Hellvik,NO,59.9156,5.781,58.77,93,100,3.0,overcast clouds
200,Kang,BW,-23.6752,22.7876,54.25,59,51,7.43,broken clouds
201,Eureka,US,40.8021,-124.1637,64.2,82,18,1.99,few clouds
202,Lagdo,CM,9.05,13.7333,70.05,95,100,3.27,overcast clouds
203,Yulara,AU,-25.2406,130.9889,55.98,35,10,12.86,clear sky
204,Gladstone,AU,-23.85,151.25,60.73,88,100,10.36,light rain
205,Sibu,MY,2.3,111.8167,81.86,80,70,3.0,broken clouds
206,Puerto Carreno,CO,6.189,-67.4859,74.48,91,100,3.71,overcast clouds
207,Buala,SB,-8.145,159.5921,85.42,66,95,7.87,overcast clouds
208,Brae,GB,60.3964,-1.353,51.94,87,87,17.2,overcast clouds
209,Fort-Shevchenko,KZ,44.5086,50.263,76.57,68,13,15.73,few clouds
210,Palafrugell,ES,41.9174,3.1631,79.43,51,0,3.6,clear sky
211,San Policarpo,PH,12.1791,125.5072,84.02,77,100,5.95,overcast clouds
212,Sakakah,SA,29.9697,40.2064,89.17,18,54,10.09,broken clouds
213,Mandalgovi,MN,45.7625,106.2708,66.9,55,100,10.92,overcast clouds
214,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,83,20,16.11,few clouds
215,Ixtapa,MX,20.7,-105.2,88.83,74,75,5.75,broken clouds
216,Margate,GB,51.3813,1.3862,67.69,81,69,5.01,broken clouds
217,Ampanihy,MG,-24.7,44.75,60.46,63,0,7.27,clear sky
218,Bubaque,GW,11.2833,-15.8333,76.84,90,100,13.53,light rain
219,Ust-Kuyga,RU,70.0167,135.6,57.67,49,0,10.58,clear sky
220,Kaitangata,NZ,-46.2817,169.8464,43.27,81,100,8.41,overcast clouds
221,Kidal,ML,18.4411,1.4078,80.73,63,91,11.9,moderate rain
222,Adrar,MR,20.5022,-10.0711,88.99,29,29,8.95,scattered clouds
223,Cairns,AU,-16.9167,145.7667,81.1,67,40,13.8,scattered clouds
224,Road Town,VG,18.4167,-64.6167,82.49,83,40,13.8,scattered clouds
225,Lavrentiya,RU,65.5833,-171.0,42.85,69,100,25.5,overcast clouds
226,Tasiilaq,GL,65.6145,-37.6368,37.56,77,100,3.78,overcast clouds
227,Palestine,PS,31.9216,35.2033,67.95,90,0,5.44,clear sky
228,Kamaishi,JP,39.2667,141.8833,76.59,76,100,4.68,overcast clouds
229,Saltillo,MX,25.4167,-101.0,81.82,41,75,11.5,broken clouds
230,Quiling,PH,18.0683,120.5439,87.66,79,75,2.3,broken clouds
231,Sumenep,ID,-7.0167,113.8667,81.43,67,38,10.96,scattered clouds
232,Rawson,AR,-43.3002,-65.1023,43.47,42,0,27.47,clear sky
233,Pavilosta,LV,56.8879,21.1859,51.71,72,47,7.14,scattered clouds
234,Bathsheba,BB,13.2167,-59.5167,81.21,95,40,16.11,scattered clouds
235,Bisert,RU,56.8617,59.0523,50.74,98,9,3.94,clear sky
236,Taltal,CL,-25.4,-70.4833,57.36,88,100,1.68,overcast clouds
237,Cayenne,GF,4.9333,-52.3333,81.09,1,20,0.0,few clouds
238,Nemuro,JP,43.3236,145.575,59.36,88,73,7.02,broken clouds
239,Deputatskiy,RU,69.3,139.9,44.78,74,96,15.48,overcast clouds
240,North Myrtle Beach,US,33.816,-78.68,82.11,80,0,11.5,clear sky
241,Galveston,US,29.3669,-94.9669,89.02,77,35,5.01,scattered clouds
242,Turukhansk,RU,65.8167,87.9833,55.76,80,33,8.19,scattered clouds
243,Hanyang,CN,32.1371,105.5126,72.52,83,65,2.73,broken clouds
244,Iqaluit,CA,63.7506,-68.5145,45.7,93,100,1.99,overcast clouds
245,Morehead,US,37.2711,-87.1764,89.35,79,0,0.0,clear sky
246,Flinders,AU,-34.5833,150.8552,59.18,89,100,5.99,overcast clouds
247,Kahului,US,20.8947,-156.47,83.97,54,40,25.32,scattered clouds
248,Jerantut,MY,3.936,102.3626,77.07,93,100,0.07,moderate rain
249,Qaanaaq,GL,77.484,-69.3632,39.99,84,100,4.5,overcast clouds
250,Lanzhou,CN,36.0564,103.7922,71.35,58,100,12.01,overcast clouds
251,Longyearbyen,SJ,78.2186,15.6401,51.64,82,40,11.5,scattered clouds
