City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
462,Jieshi,CN,84.9,clear sky,22.8134,115.8257,Yuehai Hotel
464,Phan Thiet,VN,79.75,overcast clouds,10.9333,108.1,Hotel Saigon-PT
467,Balkhash,KZ,79.41,clear sky,46.844,74.9804,Family
479,Kilindoni,TZ,75.27,scattered clouds,-7.9139,39.6668,Bustani B&B
481,Black River,JM,80.44,few clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
485,Bairiki,KI,82.4,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
493,Asyut,EG,82.42,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
494,Bintulu,MY,81.01,few clouds,3.1667,113.0333,900 Boutique INN
495,Komsomolskiy,UZ,77.72,clear sky,40.4272,71.7189,Ikathouse
499,Kununurra,AU,80.58,clear sky,-15.7667,128.7333,Hotel Kununurra
501,Auki,SB,85.91,overcast clouds,-8.7676,160.7034,Auki Motel
504,Humaita,BR,77.0,clear sky,-7.5061,-63.0208,Corrêa Hotel
508,Hurghada,EG,85.14,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
509,Jian,CN,84.07,overcast clouds,27.1172,114.9793,Luling International Hotel
511,Shingu,JP,87.55,scattered clouds,33.7333,135.9833,Shingu UI Hotel
512,Santa Cruz Del Norte,CU,82.11,overcast clouds,23.1539,-81.9236,Rioger Art
521,Pasighat,IN,77.5,overcast clouds,28.0667,95.3333,Siang Guest House
523,Beamsville,CA,85.62,overcast clouds,43.1668,-79.4829,The House by the Side of the Road
525,Tual,ID,79.02,broken clouds,-5.6667,132.75,Grand Vilia Hotel
528,Padang,ID,77.05,few clouds,-0.9492,100.3543,Mercure Padang
530,Sakaiminato,JP,80.58,light rain,35.55,133.2333,Italian pasley
531,Keti Bandar,PK,82.56,overcast clouds,24.1447,67.4497,Haji laloo memon house
533,Davila,PH,87.78,few clouds,18.4726,120.5763,Blue Ridge Beach Resort
534,Tecoanapa,MX,82.8,overcast clouds,16.5167,-98.75,Hotel Manglares
540,Aswan,EG,88.16,broken clouds,24.0934,32.907,Nuba Nile
541,Tomobe,JP,85.8,overcast clouds,36.35,140.3,City Hotel Tomobe
543,Balabac,PH,84.24,broken clouds,7.9868,117.0645,Batalla’s Lodging House
549,Labuhan,ID,78.96,clear sky,-6.8844,112.2051,DoubleFAG
553,Kieta,PG,84.4,scattered clouds,-6.2167,155.6333,Uruna Bay Retreat
555,Santa Catalina,PH,85.98,broken clouds,9.3337,122.8637,BreakWater Beach Sta Catalina Negros Oriental
